"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000189339.12",0.449954697487629,0.866551608728139,0.641821227622531,1.35014482449897,0.176969532545885,0.554935037684975
"ENSG00000269737.2",1.5353669065293,-0.26393483237444,0.452765992732506,-0.58293872908068,0.559934547593143,0.851864629519479
"ENSG00000215914.4",0,NA,NA,NA,NA,NA
"ENSG00000008128.23",0.0162022213077876,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000268575.1",0.0358549309840471,-0.276840722263707,2.93468496832229,-0.0943340512702364,0.924843801508881,NA
"ENSG00000227775.3",9.01607345802287,-0.0872822977377063,0.174932881880216,-0.498947349403825,0.617816475958573,0.873475574883854
"ENSG00000215790.7",0.184659574063304,0.0216355128373911,0.961048483592662,0.0225124051562015,0.982039216624746,NA
"ENSG00000008130.15",0.163051398619589,0.718108239156474,1.15227775268725,0.623207588172002,0.533148115851074,NA
"ENSG00000078369.18",0.0174453243096893,0.0216449077087265,2.93468496832229,0.00737554727078611,0.994115218059295,NA
"ENSG00000231050.1",0.0220588359390158,-0.177345369455207,2.93468496832229,-0.060430803091138,0.951812526161153,NA
"ENSG00000169885.10",0,NA,NA,NA,NA,NA
"ENSG00000178821.13",0.0503053237248561,0.220633769399057,2.74002653504181,0.0805224936975619,0.935821706936156,NA
"ENSG00000142609.18",0.0186100852639961,0.0216449077087265,2.93468496832229,0.00737554727078611,0.994115218059295,NA
"ENSG00000233542.2",0,NA,NA,NA,NA,NA
"ENSG00000187730.9",0,NA,NA,NA,NA,NA
"ENSG00000226969.1",0,NA,NA,NA,NA,NA
"ENSG00000067606.17",1.74503960226775,-0.274292418373535,0.31342875583419,-0.875134821766772,0.381500552160971,0.763132249235026
"ENSG00000271806.1",0.0155203262558364,-0.177345369455207,2.93468496832229,-0.060430803091138,0.951812526161153,NA
"ENSG00000182873.5",0.0652950919820694,-0.0778567707848544,1.96553269806459,-0.0396110280238625,0.968403235248831,NA
"ENSG00000162585.17",4.60472757803069,-0.290558176840857,0.213276959987728,-1.36235145539197,0.173086996073519,0.551072661196854
"ENSG00000234396.3",0.0715576322559592,-0.177351045774596,2.19993012477285,-0.0806166722194908,0.935746806847909,NA
"ENSG00000157933.10",0.0494896395168661,0.220633816801673,2.7496902393687,0.0802395170345909,0.936046761419767,NA
"ENSG00000287356.1",1.34286407564956,0.391408848684293,0.42974718199261,0.910788633608827,0.362406752525496,0.747769228129643
"ENSG00000116151.14",0.0350460771529053,-0.0778504450997736,2.93468496832229,-0.0265277009083123,0.97883643924044,NA
"ENSG00000272161.1",0,NA,NA,NA,NA,NA
"ENSG00000269896.2",0,NA,NA,NA,NA,NA
"ENSG00000272420.1",0,NA,NA,NA,NA,NA
"ENSG00000157916.20",20.0942839092555,-0.155643439190795,0.101725825114287,-1.53002877112014,0.126009607496528,0.47428842562891
"ENSG00000157911.10",27.6111954944354,-0.205053116843178,0.0872268876120387,-2.3508017132882,0.0187330135769026,0.160541098680407
"ENSG00000149527.18",0.101013466054771,-0.0778590262615284,1.46027211146519,-0.0533181628617197,0.957478408913717,NA
"ENSG00000224387.1",0,NA,NA,NA,NA,NA
"ENSG00000229393.1",0,NA,NA,NA,NA,NA
"ENSG00000157881.15",0.0353345728468045,0.121139832064159,2.93468496832229,0.0412786494536116,0.967073753828364,NA
"ENSG00000197921.6",0,NA,NA,NA,NA,NA
"ENSG00000272449.2",0.0179555280440109,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000238164.6",2.02229304824736,-0.22788545944799,0.304041332385407,-0.749521315605602,0.453543056079291,0.805297024969681
"ENSG00000157873.17",0.0286880113558578,0.121139832064159,2.93468496832229,0.0412786494536115,0.967073753828364,NA
"ENSG00000225931.3",0,NA,NA,NA,NA,NA
"ENSG00000228037.1",0,NA,NA,NA,NA,NA
"ENSG00000157870.16",0.0637388352706562,-0.376336075072207,2.93468496832229,-0.128237299449335,0.897961183045786,NA
"ENSG00000142606.16",0.473047044654986,-0.175175899104209,0.624343873894025,-0.280575987735154,0.779035635506568,0.937099514781112
"ENSG00000237058.1",0,NA,NA,NA,NA,NA
"ENSG00000215912.12",0,NA,NA,NA,NA,NA
"ENSG00000285945.1",0,NA,NA,NA,NA,NA
"ENSG00000283259.1",0,NA,NA,NA,NA,NA
"ENSG00000233234.1",0,NA,NA,NA,NA,NA
"ENSG00000287396.1",0,NA,NA,NA,NA,NA
"ENSG00000231630.1",0,NA,NA,NA,NA,NA
"ENSG00000284745.1",0,NA,NA,NA,NA,NA
"ENSG00000169717.7",0,NA,NA,NA,NA,NA
"ENSG00000177133.11",0.0161251578005207,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000142611.17",0.0159857252735296,0.0216449077087263,2.93468496832229,0.00737554727078606,0.994115218059295,NA
"ENSG00000283572.1",0,NA,NA,NA,NA,NA
"ENSG00000226286.1",0,NA,NA,NA,NA,NA
"ENSG00000279839.1",0,NA,NA,NA,NA,NA
"ENSG00000272235.1",0,NA,NA,NA,NA,NA
"ENSG00000287828.1",0.0163401529515207,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000286518.1",0,NA,NA,NA,NA,NA
"ENSG00000130762.15",0.0177571231083195,0.0216449077087265,2.93468496832229,0.00737554727078611,0.994115218059295,NA
"ENSG00000272088.1",0,NA,NA,NA,NA,NA
"ENSG00000162591.16",0,NA,NA,NA,NA,NA
"ENSG00000207776.1",0,NA,NA,NA,NA,NA
"ENSG00000238260.1",0,NA,NA,NA,NA,NA
"ENSG00000158109.15",0.103429045206847,-0.0778590449468121,1.454894910874,-0.0535152362998093,0.957321391232959,NA
"ENSG00000116213.16",0.125067435811271,0.718108412598123,1.43416095976408,0.50071674849959,0.616570483327921,NA
"ENSG00000078900.15",0.972920384424567,-0.471809043580971,0.466263929432375,-1.01189265091843,0.311589383504463,0.704131503927172
"ENSG00000227589.1",0,NA,NA,NA,NA,NA
"ENSG00000235131.1",0,NA,NA,NA,NA,NA
"ENSG00000227372.12",0.106363152777436,-0.177355547980194,1.31397751038656,-0.134976090974356,0.892630777957903,NA
